DATE,VIX
2/5/2018,37.32
2/6/2018,29.98
2/7/2018,27.73
2/8/2018,33.46
2/9/2018,29.06
2/12/2018,25.61
2/13/2018,24.97
2/14/2018,19.26
2/15/2018,19.13
2/16/2018,19.46
2/19/2018,.
2/20/2018,20.6
2/21/2018,20.02
2/22/2018,18.72
2/23/2018,16.49
2/26/2018,15.8
2/27/2018,18.59
2/28/2018,19.85
3/1/2018,22.47
3/2/2018,19.59
3/5/2018,18.73
3/6/2018,18.36
3/7/2018,17.76
3/8/2018,16.54
3/9/2018,14.64
3/12/2018,15.78
3/13/2018,16.35
3/14/2018,17.23
3/15/2018,16.59
3/16/2018,15.8
3/19/2018,19.02
3/20/2018,18.2
3/21/2018,17.86
3/22/2018,23.34
3/23/2018,24.87
3/26/2018,21.03
3/27/2018,22.5
